cat_id,cat_name,cat_slug,cat_posttype,cat_parent,cat_schema,cat_font_icon,cat_color,cat_description,cat_top_description,cat_bottom_description,cat_image,cat_icon
6,"CARS &amp; MOTORBIKES",car,gd_place,,,,,,,,,
8,NISSAN,nissan,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
9,MAZDA,mazda,gd_place,"CARS &amp; MOTORBIKES",,,,,,,,
26,"HOME &amp; GARDEN",home-and-garden,gd_place,,,,,,,,,
27,"FURNITURE &amp; DECORATION",furniture-and-decoration,gd_place,,,,,,,,,
28,"VIDEO GAMES &amp; CONSOLES",video-games-and-consoles,gd_place,,,,,,,,,
29,"CLOTHING &amp; SHOES",clothing-and-shoes,gd_place,,,,,,,,,
30,"BOOKS &amp; MAGAZINES",books-and-magazines,gd_place,,,,,,,,,
31,"COMPUTERS &amp; TABLETS",computers-and-tablets,gd_place,,,,,,,,,
32,"PHONES &amp; ACCESSORIES",phones-and-accessories,gd_place,,,,,,,,,
33,"HOME ELECTRONICS",domestic-appliances-and-electronics,gd_place,,,,,,,,,
34,CAMERAS,cameras,gd_place,,,,,,,,,
35,"MUSIC &amp; INSTRUMENTS",music-and-instruments,gd_place,,,,,,,,,
36,"MOVIES &amp; ACCESSORIES",movies-and-accessories,gd_place,,,,,,,,,
37,COLLECTIBLES,collectibles,gd_place,,,,,,,,,
39,BAGS,bags,gd_place,,,,,,,,,
40,"BABIES &amp; MOTHERS",babies-and-mothers,gd_place,,,,,,,,,
41,"CHILDREN &amp; ACCESSORIES",children-and-accessories,gd_place,,,,,,,,,
42,"TOYS, DOLLS &amp; TEDDIES",toys-dolls-and-teddies,gd_place,,,,,,,,,
44,"BEAUTY &amp; HEALTH",beauty-and-health,gd_place,,,,,,,,,
46,"ART, DESIGN &amp; ANTIQUES",art-design-and-antiques,gd_place,,,,,,,,,
47,"TICKETS, GIFT CARDS &amp; COUPONS",tickets-gift-cards-and-coupons,gd_place,,,,,,,,,
48,"SPORTS &amp; ACCESSORIES",sports-and-accessories,gd_place,,,,,,,,,
49,"BUILDING &amp; REFURBISHING",building-and-renovation,gd_place,,,,,,,,,
50,TRAVEL,travel,gd_place,,,,,,,,,
51,"HOUSING &amp; REAL ESTATE",housing-and-real-estate,gd_place,,,,,,,,,
52,MAKERS,makers,gd_place,,,,,,,,,
53,ANIMALS,animals,gd_place,,,,,,,,,
54,"ENTERTAINMENT &amp; HOBBIES",entertainment-and-hobbies,gd_place,,,,,,,,,
55,"TRADES &amp; PROFESSIONAL EQUIPMENT",trades-and-professional-equipment,gd_place,,,,,,,,,
56,"NETWORKING SERVICES",networking-services,gd_place,,,,,,,,,
58,MISCELLANEOUS,miscellaneous,gd_place,,,,,,,,,
59,"HOBBY GROUPS &amp; MEMBERS",hobby-groups-members,gd_place,,,,,,,,,
60,"Musical band",musical-band,gd_place,"HOBBY GROUPS &amp; MEMBERS",,,,,,,,
61,"Tupperware group",tupperware-group,gd_place,"HOBBY GROUPS &amp; MEMBERS",,,,,,,,
